date,timeofday,condition,rep,SoilTemp,SoilMoisture
2021-07-13,17:20,HighLight,FH2,33.44,0.67
2021-07-13,17:20,HighLight,FH4,NA,6.19
2021-07-13,17:20,HighLight,MH1,33.31,198.98
2021-07-13,17:20,HighLight,RH10,33.5,0.31
2021-07-13,17:20,HighLight,MH5,33.0,130.78
2021-07-13,17:20,HighLight,MH6,NA,73.84
2021-07-13,17:21,DARK,FD2,33.44,633.96
2021-07-13,17:21,DARK,FD6,NA,555.77
2021-07-13,17:21,DARK,RD6,NA,573.47
2021-07-13,17:21,DARK,MD1,33.62,477.54
2021-07-13,17:21,DARK,RD3,34.0,641.86
2021-07-13,17:21,DARK,RD10,NA,596.87
2021-07-13,17:21,DARK,MD6,34.5,430.64
2021-07-13,17:21,DARK,MD5,NA,551.95
2021-07-13,17:21,DARK,FD1,NA,410.97
2021-07-13,17:21,HighLight,RH2,34.0,32.49
2021-07-13,17:21,HighLight,RH5,NA,147.23
2021-07-13,17:21,HighLight,FH5,34.0,4.68
2021-07-13,17:21,HighLight,FH2,33.31,1.26
2021-07-13,17:21,HighLight,FH4,NA,5.22
2021-07-13,17:21,HighLight,MH1,33.25,192.07
2021-07-13,17:21,HighLight,RH10,33.5,0.02
2021-07-13,17:21,HighLight,MH5,33.0,126.27
2021-07-13,17:21,HighLight,MH6,NA,71.1
2021-07-13,17:22,DARK,FD2,33.44,636.31
2021-07-13,17:22,DARK,FD6,NA,557.57
2021-07-13,17:22,DARK,RD6,NA,573.82
2021-07-13,17:22,DARK,MD1,33.56,480.51
2021-07-13,17:22,DARK,RD3,34.0,646.09
2021-07-13,17:22,DARK,RD10,NA,598.39
2021-07-13,17:22,DARK,MD6,34.5,432.67
2021-07-13,17:22,DARK,MD5,NA,554.8
2021-07-13,17:22,DARK,FD1,NA,412.49
2021-07-13,17:22,HighLight,RH2,34.0,33.9
2021-07-13,17:22,HighLight,RH5,NA,153.67
2021-07-13,17:22,HighLight,FH5,34.0,4.93
2021-07-13,17:22,HighLight,FH2,33.38,0.98
2021-07-13,17:22,HighLight,FH4,NA,6.01
2021-07-13,17:22,HighLight,MH1,33.25,199.02
2021-07-13,17:22,HighLight,RH10,33.5,0.09
2021-07-13,17:22,HighLight,MH5,33.0,130.89
2021-07-13,17:22,HighLight,MH6,NA,73.92
2021-07-13,17:23,DARK,FD2,33.44,636.1
2021-07-13,17:23,DARK,FD6,NA,557.41
2021-07-13,17:23,DARK,RD6,NA,575.42
2021-07-13,17:23,DARK,MD1,33.56,480.31
2021-07-13,17:23,DARK,RD3,34.0,644.8
2021-07-13,17:23,DARK,RD10,NA,598.74
2021-07-13,17:23,DARK,MD6,34.5,432.7
2021-07-13,17:23,DARK,MD5,NA,552.78
2021-07-13,17:23,DARK,FD1,NA,412.9
2021-07-13,17:23,HighLight,RH2,33.94,32.84
2021-07-13,17:23,HighLight,RH5,NA,153.69
2021-07-13,17:23,HighLight,FH5,34.0,4.42
2021-07-13,17:23,HighLight,FH2,33.31,1.02
2021-07-13,17:23,HighLight,FH4,NA,5.55
2021-07-13,17:23,HighLight,MH1,33.25,192.24
2021-07-13,17:23,HighLight,RH10,33.5,0.25
2021-07-13,17:23,HighLight,MH5,33.0,131.56
2021-07-13,17:23,HighLight,MH6,NA,74.33
2021-07-13,17:24,DARK,FD2,33.44,636.64
2021-07-13,17:24,DARK,FD6,NA,557.65
2021-07-13,17:24,DARK,RD6,NA,575.47
2021-07-13,17:24,DARK,MD1,33.56,480.54
2021-07-13,17:24,DARK,RD3,34.0,644.7
2021-07-13,17:24,DARK,RD10,NA,597.86
2021-07-13,17:24,DARK,MD6,34.5,431.89
2021-07-13,17:24,DARK,MD5,NA,553.9
2021-07-13,17:24,DARK,FD1,NA,413.39
2021-07-13,17:24,HighLight,RH2,33.94,32.63
2021-07-13,17:24,HighLight,RH5,NA,146.52
2021-07-13,17:24,HighLight,FH5,34.0,4.38
2021-07-13,17:24,HighLight,FH2,33.31,1.2
2021-07-13,17:24,HighLight,FH4,NA,5.07
2021-07-13,17:24,HighLight,MH1,33.25,191.88
2021-07-13,17:24,HighLight,RH10,33.5,0.25
2021-07-13,17:24,HighLight,MH5,33.0,125.99
2021-07-13,17:24,HighLight,MH6,NA,71.26
2021-07-13,17:25,DARK,FD2,33.44,636.73
2021-07-13,17:25,DARK,FD6,NA,557.58
2021-07-13,17:25,DARK,RD6,NA,575.76
2021-07-13,17:25,DARK,MD1,33.56,480.44
2021-07-13,17:25,DARK,RD3,34.0,645.12
2021-07-13,17:25,DARK,RD10,NA,598.63
2021-07-13,17:25,DARK,MD6,34.5,432.63
2021-07-13,17:25,DARK,MD5,NA,553.08
2021-07-13,17:25,DARK,FD1,NA,413.06
2021-07-13,17:25,HighLight,RH2,33.94,32.72
2021-07-13,17:25,HighLight,RH5,NA,148.27
2021-07-13,17:25,HighLight,FH5,34.0,4.57
2021-07-13,17:25,HighLight,FH2,33.31,1.23
2021-07-13,17:25,HighLight,FH4,NA,5.06
2021-07-13,17:25,HighLight,MH1,33.25,191.69
2021-07-13,17:25,HighLight,RH10,33.0,0.08
2021-07-13,17:25,HighLight,MH5,33.0,125.97
2021-07-13,17:25,HighLight,MH6,NA,70.95
2021-07-13,17:26,DARK,FD2,33.44,634.13
